ICRF Designation,IERS Des.,Inf.,RA,Dec,dRA,dDec,Corr.,Mean,First,Last,Nbs,Nbd,Nbr
ICRF,J153452.4+013104,1532+016,233.718557,1.517835,0.00000346,0.0000636,-0.0561,52779.8,47407.6,56638.8,50,894,0
ICRF,J153454.6-352623,1531-352,233.727865,-35.439860,0.00000939,0.0002044,0.1542,56136.1,54489.7,56897.3,10,255,0
ICRF,J153514.6+483659,1533+487,233.811055,48.616582,0.00001435,0.0001620,-0.1079,56935.9,50306.3,58137.6,4,278,0
ICRF,J153516.5+195450,1533+200,233.818891,19.914141,0.00001789,0.0004064,0.3026,57133.5,53134.5,57978.6,3,213,0
ICRF,J153552.0+495739,1534+501,233.966829,49.960855,0.00001039,0.0001269,-0.2936,56521.7,50306.3,58137.6,4,306,0
ICRF,J153556.1+832615,1541+835,233.983862,83.437568,0.00007073,0.0001465,-0.0029,56954.0,53560.8,57944.2,3,309,0
ICRF,J153613.8+383328,1534+387,234.057692,38.557946,0.00001124,0.0001888,-0.0463,56953.2,52940.7,58144.4,4,317,0
ICRF,J153654.4-315115,1533-316,234.227076,-31.854204,0.00001016,0.0003119,-0.2834,56586.0,53126.1,57920.8,4,167,0
ICRF,J153714.5+230040,1535+231,234.310420,23.011253,0.00001000,0.0002612,0.0335,57829.0,57646.8,58122.7,5,272,0
ICRF,J153717.5-125942,1534-128,234.323148,-12.995238,0.00000919,0.0001803,-0.2531,57944.2,57674.7,58036.5,5,236,0
ICRF,J153741.5-152712,1534-152,234.423221,-15.453472,0.00000588,0.0002068,-0.2161,55515.3,53523.9,57944.2,4,330,0
ICRF,J153811.9-652551,1533-652,234.549647,-65.430888,0.00011837,0.0014744,0.6851,54723.8,54723.8,54723.8,1,11,0
ICRF,J153815.9+001905,1535+004,234.566471,0.318146,0.00000672,0.0001437,-0.0171,55836.9,49914.7,57933.8,7,346,0
ICRF,J153820.3-034614,1535-036,234.584798,-3.770642,0.00001298,0.0003840,0.0623,57362.8,53153.2,57840.3,3,198,0
ICRF,J153905.2+053438,1536+057,234.771692,5.577343,0.00001260,0.0003491,0.0272,57344.2,53561.9,57836.8,3,183,0
ICRF,J153910.1+043051,1536+046,234.792104,4.514230,0.00000683,0.0002142,-0.1596,56407.5,53126.1,57836.8,3,243,0
ICRF,J153916.1+310407,1537+312,234.817393,31.068799,0.00001105,0.0002132,-0.0391,57067.4,53573.0,58159.9,4,323,0
ICRF,J153925.0+160400,1537+162,234.854579,16.066761,0.00000794,0.0002009,0.0162,55152.5,50085.5,57978.6,4,320,0
ICRF,J153934.8+473531,1538+477,234.895043,47.592018,0.00002214,0.0002781,0.0589,57918.8,57646.8,58137.6,4,164,0
ICRF,J153939.1+274438,1537+279,234.913071,27.743948,0.00000824,0.0001831,-0.2719,55931.1,50219.8,57771.0,4,288,0
ICRF,J154003.1-082325,1537-082,235.013135,-8.390417,0.00002334,0.0006847,-0.0104,57207.1,53560.8,57840.3,3,154,0
ICRF,J154015.8+815505,1544+820,235.066157,81.918274,0.00241744,0.0032508,-0.4702,58003.7,58003.7,58003.7,1,13,0
