name,iauname,type,RA,DEC,RAJ2000,DEJ2000,dalp,ddel,coor,nobs,stot,stotunres,ctot,ctotunres,xtot,xtotunres,utot,utotunres,ktot,ktotunres,ctype,catname,flag
0054-215,J0056-2117,C,00:56:32.275514,-21:17:08.12285,14.1344813083,-21.2855896806,0.74,1.83,0.052,126,-1.0,-1.0,-1.0,-1.0,0.066,0.028,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0053+480,J0056+4819,C,00:56:33.343273,+48:19:04.83742,14.1389303042,48.3180103944,1.21,1.21,-0.01,36,-1.0,-1.0,0.058,0.019,0.026,0.011,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0054-157,J0056-1527,C,00:56:48.641887,-15:27:20.16434,14.2026745292,-15.4556012056,1.58,3.94,-0.418,27,-1.0,-1.0,0.018,0.017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0054+128,J0056+1307,C,00:56:53.818293,+13:07:10.30492,14.2242428875,13.1195291444,0.67,1.72,-0.039,36,-1.0,-1.0,0.034,0.027,0.033,0.026,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0054+281,J0057+2825,C,00:57:21.005252,+28:25:57.37584,14.3375218833,28.4326044,0.76,2.15,-0.121,28,-1.0,-1.0,0.067,0.069,0.06,0.061,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0054+459,J0057+4612,C,00:57:29.842904,+46:12:32.41042,14.3743454333,46.2090028944,1.65,1.36,0.442,27,-1.0,-1.0,0.09,0.043,0.053,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0055+040,J0057+0418,C,00:57:41.186650,+04:18:22.75714,14.4216110417,4.3063214278,0.29,0.55,-0.078,251,-1.0,-1.0,0.037,0.023,0.029,0.017,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0055-101,J0057-0954,C,00:57:41.927247,-09:54:22.56481,14.4246968625,-9.9062680028,0.7,1.88,-0.159,27,-1.0,-1.0,0.02,0.014,0.021,0.02,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0055+098,J0057+1006,C,00:57:47.700455,+10:06:39.14018,14.4487518958,10.1108722722,0.76,1.74,0.121,46,-1.0,-1.0,0.02,0.013,0.014,0.011,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0055-328,J0058-3234,C,00:58:02.230311,-32:34:20.75037,14.5092929625,-32.5724306583,0.22,0.44,-0.549,376,0.129,0.091,-1.0,-1.0,0.135,0.085,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0055+319,J0058+3211,C,00:58:15.609318,+32:11:19.68425,14.565038825,32.1888011806,0.69,0.84,-0.499,36,-1.0,-1.0,0.057,0.051,0.063,0.054,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0055-340,J0058-3347,C,00:58:15.641810,-33:47:57.49450,14.5651742083,-33.7993040278,0.23,0.46,-0.558,358,0.095,0.084,-1.0,-1.0,0.12,0.089,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0055+329,J0058+3311,C,00:58:32.069014,+33:11:17.21438,14.6336208917,33.1881151056,0.16,0.19,-0.01,988,0.144,0.132,-1.0,-1.0,0.127,0.093,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0055+387,J0058+3902,C,00:58:32.339787,+39:02:08.55672,14.6347491125,39.0357102,0.71,1.56,-0.404,28,-1.0,-1.0,0.076,0.022,0.034,0.009,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0056-119,J0058-1140,C,00:58:32.373880,-11:40:50.52388,14.6348911667,-11.6807010778,0.74,1.78,-0.389,36,-1.0,-1.0,0.013,0.011,0.013,0.011,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0055+060,J0058+0620,C,00:58:33.804574,+06:20:06.07347,14.6408523917,6.3350204083,0.1,0.18,-0.366,2463,0.104,0.11,-1.0,-1.0,0.21,0.162,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0056-187,J0058-1829,C,00:58:37.266080,-18:29:37.05078,14.6552753333,-18.4936252167,0.36,0.92,-0.518,286,0.049,0.048,-1.0,-1.0,0.04,0.041,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0056-525,J0058-5219,C,00:58:55.899794,-52:19:27.83245,14.7329158083,-52.3243979028,2.53,1.22,0.126,37,-1.0,-1.0,-1.0,-1.0,0.132,0.144,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0056-193,J0058-1903,C,00:58:59.215405,-19:03:54.58196,14.7467308542,-19.0651616556,0.88,2.55,0.01,36,-1.0,-1.0,0.063,-1.0,0.04,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0056-021,J0059-0150,C,00:59:16.927666,-01:50:17.66420,14.8205319417,-1.8382400556,0.92,1.88,0.062,75,-1.0,-1.0,-1.0,-1.0,0.016,0.015,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0056+037,J0059+0403,C,00:59:25.327745,+04:03:02.24412,14.8555322708,4.0506233667,1.12,2.3,-0.478,30,-1.0,-1.0,0.033,0.013,0.021,0.013,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0057+185,J0059+1848,C,00:59:45.011799,+18:48:46.94920,14.9375491625,18.8130414444,0.83,1.15,0.183,28,-1.0,-1.0,0.042,-1.0,0.059,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0057+040,J0100+0416,C,01:00:00.604911,+04:16:46.29473,15.0025204625,4.2795263139,0.52,1.02,-0.433,48,-1.0,-1.0,0.019,0.015,0.024,0.019,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0057-338,J0100-3337,C,01:00:09.390963,-33:37:31.93834,15.0391290125,-33.6255384278,0.25,0.49,-0.578,340,0.142,0.129,-1.0,-1.0,0.097,0.076,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0057+482,J0100+4834,U,01:00:11.482223,+48:34:02.86217,15.0478425958,48.5674617139,4.79,10.67,-0.064,11,-1.0,-1.0,0.045,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0057-274,J0100-2708,C,01:00:12.314151,-27:08:53.08653,15.0513089625,-27.1480795917,0.96,2.48,-0.081,28,-1.0,-1.0,0.113,0.031,0.064,0.024,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0057+308,J0100+3107,C,01:00:18.678019,+31:07:58.29508,15.0778250792,31.1328597444,0.76,1.96,-0.118,36,-1.0,-1.0,0.03,0.012,0.02,0.013,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0057+074,J0100+0745,C,01:00:20.786395,+07:45:51.40777,15.0866099792,7.7642799361,0.28,0.54,0.08,135,-1.0,-1.0,-1.0,-1.0,0.078,0.027,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0057+334,J0100+3345,C,01:00:38.290718,+33:45:06.12179,15.1595446583,33.7517004972,0.15,0.18,-0.075,827,0.173,0.154,-1.0,-1.0,0.136,0.052,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0058+197,J0100+1958,C,01:00:54.456953,+19:58:31.97372,15.2269039708,19.9755482556,0.56,1.06,-0.411,21,-1.0,-1.0,0.068,0.041,0.066,0.041,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0058-340,J0101-3347,N,01:01:05.091248,-33:47:33.22151,15.2712135333,-33.7925615306,3.93,10.22,0.74,15,-1.0,-1.0,0.104,-1.0,0.082,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0058+058,J0101+0605,C,01:01:14.670165,+06:05:44.50411,15.3111256875,6.0956955861,0.16,0.33,-0.19,654,0.079,0.046,-1.0,-1.0,0.05,0.033,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0058+153,J0101+1538,C,01:01:36.082679,+15:38:38.16663,15.4003444958,15.643935175,0.57,1.13,-0.125,45,-1.0,-1.0,0.068,0.05,0.051,0.039,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0059-287,J0101-2831,C,01:01:52.389736,-28:31:20.42543,15.4682905667,-28.5223403972,0.38,0.84,-0.146,337,0.471,0.085,-1.0,-1.0,0.104,0.048,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0059+163,J0101+1639,C,01:01:57.719552,+16:39:40.95356,15.4904981333,16.6613759889,0.15,0.28,-0.184,798,0.228,0.11,-1.0,-1.0,0.122,0.043,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0059-197,J0102-1927,C,01:02:03.783780,-19:27:02.92213,15.51576575,-19.4508117028,1.58,4.73,0.061,24,-1.0,-1.0,0.031,-1.0,0.011,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0059-000,J0102+0011,C,01:02:05.898388,+00:11:57.00105,15.5245766167,0.1991669583,0.42,0.89,0.069,159,0.02,-1.0,0.016,0.01,0.017,0.011,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0101-804,J0102-8012,C,01:02:14.911764,-80:12:39.43067,15.56213235,-80.2109529639,1.08,0.33,-0.095,101,-1.0,-1.0,-1.0,-1.0,0.183,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0059+094,J0102+0944,C,01:02:17.112324,+09:44:09.58682,15.57130135,9.7359963389,0.29,0.6,-0.097,183,-1.0,-1.0,0.02,0.019,0.021,0.017,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0100-760,J0102-7546,C,01:02:18.660113,-75:46:51.73050,15.5777504708,-75.78103625,0.58,0.24,0.131,262,-1.0,-1.0,-1.0,-1.0,0.326,0.367,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0059+419,J0102+4214,C,01:02:27.150009,+42:14:18.99420,15.6131250375,42.2386095,0.17,0.18,0.214,769,-1.0,-1.0,-1.0,-1.0,0.149,0.132,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0059-048,J0102-0435,C,01:02:27.453100,-04:35:56.22887,15.6143879167,-4.5989524639,0.82,1.65,0.103,63,-1.0,-1.0,0.082,0.017,0.036,0.01,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0100+182,J0103+1831,C,01:03:04.256070,+18:31:36.93542,15.767733625,18.5269265056,0.81,1.62,0.222,28,-1.0,-1.0,0.022,0.014,0.022,0.021,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0100+012,J0103+0133,U,01:03:13.563766,+01:33:06.22156,15.8065156917,1.5517282111,8.27,8.06,0.136,9,-1.0,-1.0,0.012,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0100+467,J0103+4658,C,01:03:16.143431,+46:58:20.52315,15.8172642958,46.9723675417,2.54,1.82,-0.517,21,-1.0,-1.0,0.055,0.005,0.032,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0100+130,J0103+1319,C,01:03:21.026094,+13:19:35.03019,15.837608725,13.326397275,0.52,0.94,-0.314,48,-1.0,-1.0,0.03,0.016,0.028,0.014,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0100+067,J0103+0659,C,01:03:31.757626,+06:59:21.22284,15.8823234417,6.9892285667,0.25,0.51,-0.197,185,0.236,0.092,-1.0,-1.0,0.07,0.017,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0101-126,J0103-1222,C,01:03:45.208956,-12:22:44.13477,15.93837065,-12.378926325,0.32,0.85,-0.612,355,0.066,0.044,-1.0,-1.0,0.046,0.04,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0101+295,J0104+2949,C,01:04:08.322485,+29:49:05.70544,16.0346770208,29.8182515111,0.36,0.55,0.321,45,-1.0,-1.0,0.07,0.061,0.098,0.083,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0101-220,J0104-2144,N,01:04:09.552475,-21:44:20.97299,16.0398019792,-21.7391591639,11.23,14.84,-0.245,13,-1.0,-1.0,0.031,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0101+113,J0104+1134,C,01:04:10.620798,+11:34:16.30052,16.044253325,11.5711945889,0.13,0.24,-0.152,671,0.042,0.038,-1.0,-1.0,0.109,0.099,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0102-256,J0104-2520,N,01:04:52.302416,-25:20:53.59911,16.2179267333,-25.348221975,9.07,11.98,0.133,12,-1.0,-1.0,0.023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0102-024,J0104-0213,C,01:04:57.983854,-02:13:37.71956,16.2415993917,-2.2271443222,0.71,1.72,-0.317,42,-1.0,-1.0,0.053,0.022,0.03,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0102-245,J0104-2416,C,01:04:58.205368,-24:16:28.44594,16.2425223667,-24.2745683167,0.14,0.28,-0.353,551,0.252,0.222,-1.0,-1.0,0.188,0.159,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0102+392,J0105+3928,C,01:05:09.195767,+39:28:15.32303,16.2883156958,39.4709230639,0.4,0.47,-0.027,168,-1.0,-1.0,-1.0,-1.0,0.124,0.113,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0102-207,J0105-2031,C,01:05:24.254783,-20:31:46.38155,16.3510615958,-20.5295504306,0.58,1.45,-0.527,36,-1.0,-1.0,0.072,0.04,0.041,0.022,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0102+136,J0105+1355,U,01:05:32.244327,+13:55:21.89790,16.3843513625,13.9227494167,4.1,4.71,0.129,10,-1.0,-1.0,0.039,-1.0,0.025,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0103-342,J0105-3401,C,01:05:41.019772,-34:01:28.41018,16.4209157167,-34.0245583833,1.98,3.16,0.233,24,-1.0,-1.0,-1.0,-1.0,0.106,0.053,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0103-187,J0105-1829,C,01:05:50.731785,-18:29:21.30470,16.4613824375,-18.4892513056,1.01,2.9,0.03,27,-1.0,-1.0,0.018,0.014,0.019,0.015,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0103+189,J0105+1912,C,01:05:55.241045,+19:12:28.06173,16.4801710208,19.207794925,0.66,1.13,-0.462,28,-1.0,-1.0,0.057,0.039,0.064,0.033,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0103+337,J0106+3402,C,01:06:00.293299,+34:02:02.98614,16.5012220792,34.0341628167,0.18,0.21,0.139,566,0.189,0.096,-1.0,-1.0,0.118,0.054,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0103-119,J0106-1142,N,01:06:07.988214,-11:42:46.50525,16.533284225,-11.712918125,8.84,13.33,0.198,12,-1.0,-1.0,0.026,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0103-021,J0106-0155,C,01:06:22.994287,-01:55:38.41511,16.5958095292,-1.9273375306,0.13,0.27,-0.057,542,0.538,0.132,-1.0,-1.0,0.227,0.062,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0103+127,J0106+1300,C,01:06:33.356484,+13:00:02.60456,16.63898535,13.0007234889,0.13,0.22,-0.229,927,0.162,0.107,-1.0,-1.0,0.14,0.109,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0104-035,J0106-0315,C,01:06:43.228698,-03:15:36.29498,16.680119575,-3.2600819389,0.11,0.24,-0.298,623,0.386,0.329,0.486,0.456,0.482,0.364,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0104-242,J0106-2358,C,01:06:45.665392,-23:58:05.61432,16.6902724667,-23.9682262,0.68,1.77,-0.156,28,-1.0,-1.0,0.128,0.085,0.095,0.063,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0104+231,J0106+2325,C,01:06:46.996107,+23:25:09.91469,16.6958171125,23.4194207472,0.32,0.39,0.147,187,-1.0,-1.0,0.199,0.028,0.149,0.012,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0104+195,J0106+1951,C,01:06:52.631238,+19:51:02.56184,16.719296825,19.8507116222,0.14,0.21,-0.209,481,0.125,0.117,-1.0,-1.0,0.141,0.124,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0104-487,J0106-4831,C,01:06:55.668930,-48:31:29.30786,16.731953875,-48.5248077389,0.8,1.19,-0.441,35,-1.0,-1.0,-1.0,-1.0,0.277,0.149,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0104-004,J0107-0012,C,01:07:05.122581,-00:12:43.10193,16.7713440875,-0.2119727583,1.18,2.72,-0.221,28,-1.0,-1.0,0.08,-1.0,0.051,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0104-124,J0107-1211,C,01:07:11.784869,-12:11:23.43749,16.7991036208,-12.1898437472,0.39,0.9,-0.255,30,-1.0,-1.0,0.038,0.024,0.03,0.02,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0104+032,J0107+0333,C,01:07:28.571094,+03:33:48.60231,16.869046225,3.5635006417,0.62,1.37,0.37,33,-1.0,-1.0,0.03,0.022,0.038,0.029,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0104+465,J0107+4648,C,01:07:44.577803,+46:48:30.05036,16.9357408458,46.8083473222,0.7,1.22,-0.018,36,-1.0,-1.0,0.024,0.016,0.037,0.02,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0105+257,J0107+2558,C,01:07:44.922777,+25:58:43.97642,16.9371782375,25.9788823389,0.29,0.54,0.018,81,-1.0,-1.0,0.107,0.071,0.113,0.068,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0104+355,J0107+3548,C,01:07:45.850540,+35:48:10.81099,16.9410439167,35.8030030528,0.65,1.12,0.128,36,-1.0,-1.0,0.131,0.068,0.064,0.031,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0105+129,J0107+1312,C,01:07:45.961883,+13:12:05.19151,16.9415078458,13.2014420861,0.12,0.2,-0.218,635,0.241,0.149,-1.0,-1.0,0.193,0.095,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0105-244,J0107-2408,C,01:07:46.974669,-24:08:53.36160,16.9457277875,-24.148156,0.86,2.82,0.108,34,-1.0,-1.0,0.074,-1.0,0.053,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0105+452,J0108+4531,C,01:08:21.079567,+45:31:58.53678,17.0878315292,45.5329268833,1.79,3.73,-0.427,25,-1.0,-1.0,0.012,0.008,0.014,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0105-008,J0108-0037,C,01:08:26.842570,-00:37:24.16505,17.1118440417,-0.6233791806,0.11,0.23,-0.137,664,0.668,0.294,-1.0,-1.0,0.329,0.044,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0106-291,J0108-2851,U,01:08:37.906769,-28:51:28.62884,17.1579448708,-28.8579524556,12.28,20.91,0.15,7,-1.0,-1.0,0.131,-1.0,0.079,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0106+18A,J0108+1838,C,01:08:49.506050,+18:38:24.12516,17.2062752083,18.6400347667,1.16,2.79,0.286,29,-1.0,-1.0,0.032,0.014,0.019,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0106+380,J0109+3816,C,01:09:25.574372,+38:16:45.78406,17.3565598833,38.2793844611,1.83,4.74,-0.187,82,0.019,0.016,-1.0,-1.0,0.016,0.007,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0106+242,J0109+2433,C,01:09:26.583751,+24:33:15.71393,17.3607656292,24.5543649806,0.34,0.47,-0.206,81,-1.0,-1.0,0.178,0.169,0.148,0.157,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0106+315,J0109+3149,C,01:09:27.887179,+31:49:56.04920,17.3661965792,31.8322358889,0.13,0.13,-0.121,3070,0.225,0.123,-1.0,-1.0,0.244,0.083,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0107-061,J0109-0552,C,01:09:53.861586,-05:52:21.60423,17.474423275,-5.8726678417,0.61,1.57,-0.126,45,-1.0,-1.0,0.027,0.02,0.021,0.018,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0107+135,J0110+1346,C,01:10:08.015663,+13:46:36.56283,17.5333985958,13.7768230083,0.35,0.62,-0.366,45,-1.0,-1.0,0.047,0.039,0.07,0.066,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0107+288,J0110+2906,C,01:10:10.081253,+29:06:29.84034,17.5420052208,29.1082889833,1.15,1.65,-0.572,45,-1.0,-1.0,0.028,0.018,0.017,0.005,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0107-045,J0110-0415,C,01:10:30.902793,-04:15:31.02760,17.6287616375,-4.2586187778,0.11,0.26,-0.216,530,0.148,0.123,-1.0,-1.0,0.124,0.077,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0107+295,J0110+2949,C,01:10:35.413942,+29:49:34.48066,17.6475580917,29.8262446278,0.62,0.92,0.373,45,-1.0,-1.0,0.071,0.062,0.042,0.041,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0108-131,J0110-1255,C,01:10:50.002723,-12:55:03.84659,17.7083446792,-12.9177351639,1.29,2.89,-0.086,16,-1.0,-1.0,0.011,0.015,0.018,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0109-260,J0111-2545,C,01:11:30.742174,-25:45:31.25707,17.8780923917,-25.7586825194,0.83,2.05,-0.071,28,-1.0,-1.0,0.033,0.028,0.038,0.031,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0109+316,J0111+3155,C,01:11:54.625052,+31:55:30.71815,17.9776043833,31.9251994861,0.77,1.06,0.308,45,-1.0,-1.0,0.061,0.036,0.035,0.014,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0109+236,J0111+2351,C,01:11:59.124548,+23:51:56.28672,17.9963522833,23.8656352,0.9,1.43,-0.584,76,-1.0,-1.0,0.057,0.015,0.035,0.019,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0109+224,J0112+2244,C,01:12:05.824715,+22:44:38.78634,18.0242696458,22.7441073167,0.12,0.14,-0.077,23459,0.368,0.248,0.246,-1.0,0.441,0.355,0.623,0.422,-1.0,-1.0,Fus,rfc_2024,-
0109+174,J0112+1743,C,01:12:11.371605,+17:43:38.77316,18.0473816875,17.7274369889,0.88,1.74,0.261,44,-1.0,-1.0,0.024,0.019,0.014,0.016,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0109+23A,J0112+2353,C,01:12:12.683863,+23:53:24.15334,18.0528494292,23.8900425944,0.19,0.37,-0.091,125,-1.0,-1.0,0.131,0.005,0.101,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0109+443,J0112+4437,C,01:12:13.044526,+44:37:07.66846,18.0543521917,44.6187967944,0.54,1.03,-0.316,45,-1.0,-1.0,0.047,0.032,0.045,0.024,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0110-037,J0112-0328,C,01:12:39.134890,-03:28:42.81900,18.1630620417,-3.4785608333,0.11,0.26,-0.318,342,-1.0,-1.0,0.126,0.071,0.143,0.08,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0109+455,J0112+4549,C,01:12:50.853529,+45:49:59.43873,18.2118897042,45.833177425,1.45,2.19,-0.259,27,-1.0,-1.0,0.043,0.012,0.028,0.011,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0110-066,J0113-0624,C,01:13:02.115075,-06:24:26.48898,18.2588128125,-6.40735805,0.66,1.62,-0.313,28,-1.0,-1.0,0.067,-1.0,0.065,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0110+477,J0113+4802,C,01:13:18.535294,+48:02:07.01503,18.3272303917,48.0352819528,2.38,1.71,-0.146,42,-1.0,-1.0,0.061,-1.0,0.024,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0110+359,J0113+3611,C,01:13:40.169638,+36:11:17.90468,18.4173734917,36.1883068556,2.5,3.2,-0.518,19,-1.0,-1.0,0.029,0.012,0.02,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0111-049,J0114-0442,C,01:14:10.582476,-04:42:30.30892,18.54409365,-4.7084191444,0.42,0.88,-0.078,71,-1.0,-1.0,0.064,0.044,0.07,0.05,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0111+218,J0114+2207,C,01:14:11.901464,+22:07:08.33917,18.5495894333,22.1189831028,0.5,1.22,-0.227,45,-1.0,-1.0,0.158,0.043,0.055,0.013,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0111+481,J0114+4823,C,01:14:23.524143,+48:23:53.10060,18.5980172625,48.3980835,4.03,4.21,0.075,15,-1.0,-1.0,0.072,-1.0,0.038,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0112+261,J0114+2623,C,01:14:51.443889,+26:23:21.39058,18.7143495375,26.3892751611,0.84,1.61,0.477,28,-1.0,-1.0,0.011,0.01,0.009,0.007,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0112+312,J0115+3129,U,01:15:02.280606,+31:29:24.29856,18.759502525,31.4900829333,4.85,9.63,0.273,6,-1.0,-1.0,0.027,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0112+13A,J0115+1324,C,01:15:11.067170,+13:24:46.42114,18.7961132083,13.4128947611,0.28,0.34,-0.076,114,0.032,-1.0,0.055,0.057,0.077,0.057,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0113+036,J0115+0356,C,01:15:40.511662,+03:56:43.30346,18.9187985917,3.9453620722,0.4,0.81,0.108,158,-1.0,-1.0,-1.0,-1.0,0.067,0.041,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0113-167,J0115-1629,N,01:15:46.427256,-16:29:33.15824,18.9434469,-16.4925439556,5.06,7.65,0.058,14,-1.0,-1.0,0.036,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0113-280,J0115-2744,N,01:15:55.473552,-27:44:31.77887,18.9811398,-27.7421607972,4.45,9.36,0.742,24,-1.0,-1.0,0.012,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0113-16A,J0116-1630,N,01:16:02.636510,-16:30:47.08738,19.0109854583,-16.5130798278,4.22,6.79,-0.299,14,-1.0,-1.0,0.048,-1.0,0.04,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0113+163,J0116+1637,U,01:16:05.117265,+16:37:12.91506,19.0213219375,16.6202541833,5.08,7.77,0.483,10,-1.0,-1.0,0.039,-1.0,0.016,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0113-343,J0116-3404,N,01:16:18.825975,-34:04:47.23150,19.0784415625,-34.0797865278,4.38,17.69,-0.733,17,-1.0,-1.0,0.076,-1.0,0.051,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
